[22:33:10] [Datafixer Bootstrap/INFO]: 237 Datafixer optimizations took 396 milliseconds
[22:33:15] [Render thread/INFO]: Environment: Environment[sessionHost=https://sessionserver.mojang.com, servicesHost=https://api.minecraftservices.com, name=PROD]
[22:33:15] [Render thread/INFO]: Setting user: Player
[22:33:15] [Render thread/INFO]: Backend library: LWJGL version 3.3.3+5
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:ambient.soul_sand_valley.loop
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:ambient.soul_sand_valley.mood
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:ambient.warped_forest.additions
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:ambient.warped_forest.loop
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:ambient.warped_forest.mood
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:ambient.underwater.enter
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:ambient.underwater.exit
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:ambient.underwater.loop
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:ambient.underwater.loop.additions
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:ambient.underwater.loop.additions.rare
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:ambient.underwater.loop.additions.ultra_rare
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.amethyst_block.break
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.amethyst_block.chime
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.amethyst_block.fall
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.amethyst_block.hit
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.amethyst_block.place
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.amethyst_block.resonate
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.amethyst_block.step
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.amethyst_cluster.break
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.amethyst_cluster.fall
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.amethyst_cluster.hit
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.amethyst_cluster.place
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.amethyst_cluster.step
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.ancient_debris.break
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.ancient_debris.step
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.ancient_debris.place
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.ancient_debris.hit
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.ancient_debris.fall
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.anvil.break
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.anvil.destroy
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.anvil.fall
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.anvil.hit
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.anvil.land
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.anvil.place
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.anvil.step
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.anvil.use
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.armadillo.eat
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.armadillo.hurt
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.armadillo.hurt_reduced
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.armadillo.ambient
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.armadillo.step
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.armadillo.death
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.armadillo.roll
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.armadillo.land
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.armadillo.scute_drop
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.armadillo.unroll_finish
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.armadillo.peek
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.armadillo.unroll_start
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.armadillo.brush
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:item.armor.equip_chain
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:item.armor.equip_diamond
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:item.armor.equip_elytra
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:item.armor.equip_generic
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:item.armor.equip_gold
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:item.armor.equip_iron
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:item.armor.equip_leather
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:item.armor.equip_netherite
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:item.armor.equip_turtle
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:item.armor.equip_wolf
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:item.armor.unequip_wolf
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.armor_stand.break
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.armor_stand.fall
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.armor_stand.hit
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.armor_stand.place
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.arrow.hit
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.arrow.hit_player
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.arrow.shoot
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:item.axe.strip
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:item.axe.scrape
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:item.axe.wax_off
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.axolotl.attack
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.axolotl.death
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.axolotl.hurt
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.axolotl.idle_air
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.axolotl.idle_water
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.axolotl.splash
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.axolotl.swim
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.azalea.break
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.azalea.fall
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.azalea.hit
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.azalea.place
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.azalea.step
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.azalea_leaves.break
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.azalea_leaves.fall
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.azalea_leaves.hit
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.azalea_leaves.place
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.azalea_leaves.step
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.bamboo.break
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.bamboo.fall
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.bamboo.hit
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.bamboo.place
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.bamboo.step
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.bamboo_sapling.break
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.bamboo_sapling.hit
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.bamboo_sapling.place
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.bamboo_wood.break
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.bamboo_wood.fall
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.bamboo_wood.hit
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.bamboo_wood.place
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.bamboo_wood.step
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.bamboo_wood_door.close
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.bamboo_wood_door.open
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.bamboo_wood_trapdoor.close
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.bamboo_wood_trapdoor.open
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.bamboo_wood_button.click_off
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.bamboo_wood_button.click_on
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.bamboo_wood_pressure_plate.click_off
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.bamboo_wood_pressure_plate.click_on
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.bamboo_wood_fence_gate.close
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.bamboo_wood_fence_gate.open
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.barrel.close
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.barrel.open
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.basalt.break
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.basalt.step
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.basalt.place
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.basalt.hit
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.basalt.fall
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.bat.ambient
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.bat.death
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.bat.hurt
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.bat.loop
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.bat.takeoff
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.beacon.activate
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.beacon.ambient
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.beacon.deactivate
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.beacon.power_select
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.bee.death
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.bee.hurt
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.bee.loop_aggressive
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.bee.loop
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.bee.sting
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.bee.pollinate
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.beehive.drip
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.beehive.enter
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.beehive.exit
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.beehive.shear
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.beehive.work
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.bell.use
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.bell.resonate
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.big_dripleaf.break
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.big_dripleaf.fall
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.big_dripleaf.hit
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.big_dripleaf.place
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.big_dripleaf.step
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.blaze.ambient
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.blaze.burn
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.blaze.death
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.blaze.hurt
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.blaze.shoot
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.boat.paddle_land
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.boat.paddle_water
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.bogged.ambient
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.bogged.death
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.bogged.hurt
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.bogged.shear
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.bogged.step
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.bone_block.break
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.bone_block.fall
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.bone_block.hit
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.bone_block.place
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.bone_block.step
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:item.bone_meal.use
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:item.book.page_turn
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:item.book.put
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.blastfurnace.fire_crackle
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:item.bottle.empty
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:item.bottle.fill
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:item.bottle.fill_dragonbreath
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.breeze.charge
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.breeze.deflect
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.breeze.inhale
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.breeze.idle_ground
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.breeze.idle_air
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.breeze.shoot
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.breeze.jump
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.breeze.land
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.breeze.slide
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.breeze.death
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.breeze.hurt
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.breeze.whirl
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.breeze.wind_burst
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.brewing_stand.brew
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:item.brush.brushing.generic
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:item.brush.brushing.sand
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:item.brush.brushing.gravel
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:item.brush.brushing.sand.complete
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:item.brush.brushing.gravel.complete
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.bubble_column.bubble_pop
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.bubble_column.upwards_ambient
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.bubble_column.upwards_inside
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.bubble_column.whirlpool_ambient
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.bubble_column.whirlpool_inside
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:ui.hud.bubble_pop
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:item.bucket.empty
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:item.bucket.empty_axolotl
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:item.bucket.empty_fish
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:item.bucket.empty_lava
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:item.bucket.empty_powder_snow
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:item.bucket.empty_tadpole
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:item.bucket.fill
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:item.bucket.fill_axolotl
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:item.bucket.fill_fish
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:item.bucket.fill_lava
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:item.bucket.fill_powder_snow
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:item.bucket.fill_tadpole
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:item.bundle.drop_contents
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:item.bundle.insert
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:item.bundle.insert_fail
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:item.bundle.remove_one
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.cake.add_candle
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.calcite.break
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.calcite.step
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.calcite.place
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.calcite.hit
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.calcite.fall
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.camel.ambient
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.camel.dash
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.camel.dash_ready
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.camel.death
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.camel.eat
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.camel.hurt
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.camel.saddle
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.camel.sit
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.camel.stand
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.camel.step
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.camel.step_sand
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.campfire.crackle
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.candle.ambient
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.candle.break
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.candle.extinguish
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.candle.fall
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.candle.hit
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.candle.place
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.candle.step
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.cat.ambient
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.cat.stray_ambient
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.cat.death
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.cat.eat
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.cat.hiss
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.cat.beg_for_food
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.cat.hurt
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.cat.purr
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.cat.purreow
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.cave_vines.break
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.cave_vines.fall
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.cave_vines.hit
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.cave_vines.place
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.cave_vines.step
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.cave_vines.pick_berries
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.chain.break
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.chain.fall
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.chain.hit
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.chain.place
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.chain.step
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.cherry_wood.break
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.cherry_wood.fall
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.cherry_wood.hit
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.cherry_wood.place
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.cherry_wood.step
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.cherry_sapling.break
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.cherry_sapling.fall
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.cherry_sapling.hit
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.cherry_sapling.place
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.cherry_sapling.step
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.cherry_leaves.break
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.cherry_leaves.fall
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.cherry_leaves.hit
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.cherry_leaves.place
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.cherry_leaves.step
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.cherry_wood_hanging_sign.step
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.cherry_wood_hanging_sign.break
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.cherry_wood_hanging_sign.fall
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.cherry_wood_hanging_sign.hit
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.cherry_wood_hanging_sign.place
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.cherry_wood_door.close
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.cherry_wood_door.open
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.cherry_wood_trapdoor.close
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.cherry_wood_trapdoor.open
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.cherry_wood_button.click_off
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.cherry_wood_button.click_on
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.cherry_wood_pressure_plate.click_off
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.cherry_wood_pressure_plate.click_on
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.cherry_wood_fence_gate.close
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.cherry_wood_fence_gate.open
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.chest.close
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.chest.locked
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.chest.open
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.chicken.ambient
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.chicken.death
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.chicken.egg
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.chicken.hurt
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:entity.chicken.step
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.chiseled_bookshelf.break
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.chiseled_bookshelf.fall
[22:33:18] [Render thread/WARN]: Missing sound for event: minecraft:block.chiseled_bookshelf.hit
